file,recursive_calls,unit_props,pure_literals,backtracks,avg_time_sec,median_time_sec,stdev_time_sec,result
uuf50-0167.cnf,107,709,10,107,0.053429,0.053287,0.000485,UNSAT
uuf50-0168.cnf,143,1087,9,143,0.078404,0.078229,0.000521,UNSAT
uuf50-0169.cnf,75,498,32,75,0.036419,0.036287,0.000482,UNSAT
uuf50-017.cnf,121,651,14,121,0.059072,0.059002,0.000417,UNSAT
uuf50-0170.cnf,149,1034,9,149,0.080647,0.080423,0.000568,UNSAT
uuf50-0171.cnf,205,1464,19,205,0.096256,0.09605,0.000671,UNSAT
uuf50-0172.cnf,51,405,0,51,0.032241,0.032158,0.000395,UNSAT
uuf50-0173.cnf,163,1053,24,163,0.084926,0.084739,0.000635,UNSAT
uuf50-0174.cnf,85,545,4,85,0.045399,0.045149,0.000582,UNSAT
uuf50-0175.cnf,127,792,12,127,0.065139,0.064989,0.000542,UNSAT
uuf50-0176.cnf,141,1160,15,141,0.067887,0.067699,0.00057,UNSAT
uuf50-0177.cnf,117,853,1,117,0.063824,0.06348,0.000866,UNSAT
uuf50-0178.cnf,211,1472,17,211,0.10054,0.100233,0.000656,UNSAT
uuf50-0179.cnf,59,529,2,59,0.036446,0.036369,0.00031,UNSAT
uuf50-018.cnf,91,584,7,91,0.048106,0.047959,0.000389,UNSAT
uuf50-0180.cnf,201,1342,17,201,0.096546,0.095892,0.001509,UNSAT
uuf50-0181.cnf,123,757,2,123,0.059383,0.059228,0.000591,UNSAT
uuf50-0182.cnf,179,1241,15,179,0.089524,0.088407,0.003361,UNSAT
uuf50-0183.cnf,163,1100,14,163,0.077877,0.077673,0.000611,UNSAT
uuf50-0184.cnf,149,1124,32,149,0.069304,0.069045,0.000601,UNSAT
uuf50-0185.cnf,123,899,20,123,0.063798,0.063653,0.000494,UNSAT
uuf50-0186.cnf,97,682,8,97,0.056188,0.056367,0.00067,UNSAT
uuf50-0187.cnf,89,718,6,89,0.046142,0.046086,0.00033,UNSAT
uuf50-0188.cnf,97,693,1,97,0.048182,0.048053,0.000433,UNSAT
uuf50-0189.cnf,125,915,10,125,0.063864,0.063656,0.000571,UNSAT
uuf50-019.cnf,83,655,7,83,0.046132,0.045979,0.000464,UNSAT
uuf50-0190.cnf,99,724,5,99,0.053096,0.052908,0.000549,UNSAT
uuf50-0191.cnf,163,1099,21,163,0.079583,0.079391,0.000607,UNSAT
uuf50-0192.cnf,79,672,11,79,0.044785,0.044625,0.000462,UNSAT
uuf50-0193.cnf,71,455,4,71,0.038842,0.038874,0.00058,UNSAT
uuf50-0194.cnf,149,1114,29,149,0.077558,0.077354,0.000618,UNSAT
uuf50-0195.cnf,127,987,13,127,0.06427,0.063862,0.000755,UNSAT
uuf50-0196.cnf,241,1714,37,241,0.106819,0.106803,0.001283,UNSAT
uuf50-0197.cnf,125,953,4,125,0.075762,0.074665,0.004203,UNSAT
uuf50-0198.cnf,61,400,2,61,0.032825,0.032739,0.000375,UNSAT
uuf50-0199.cnf,139,1121,13,139,0.07127,0.07104,0.000612,UNSAT
uuf50-02.cnf,77,618,10,77,0.042408,0.042156,0.000609,UNSAT
uuf50-020.cnf,89,666,8,89,0.048468,0.048533,0.000595,UNSAT
uuf50-0200.cnf,111,775,1,111,0.062258,0.06257,0.001046,UNSAT
uuf50-0201.cnf,91,635,4,91,0.045709,0.043562,0.006029,UNSAT
uuf50-0202.cnf,213,1478,35,213,0.112479,0.112833,0.001579,UNSAT
uuf50-0203.cnf,103,737,13,103,0.055634,0.054491,0.003555,UNSAT
uuf50-0204.cnf,51,335,2,51,0.029003,0.028926,0.000346,UNSAT
uuf50-0205.cnf,225,1601,27,225,0.107237,0.10604,0.003147,UNSAT
uuf50-0206.cnf,103,685,14,103,0.048458,0.048269,0.000541,UNSAT
uuf50-0207.cnf,225,1422,10,225,0.112506,0.112175,0.000675,UNSAT
uuf50-0208.cnf,75,637,4,75,0.043249,0.043184,0.000334,UNSAT
uuf50-0209.cnf,103,758,1,103,0.056286,0.056068,0.000544,UNSAT
uuf50-021.cnf,173,1261,19,173,0.077616,0.077454,0.000634,UNSAT
uuf50-0210.cnf,173,1330,3,173,0.088257,0.08803,0.000552,UNSAT
uuf50-0211.cnf,159,1013,18,159,0.076394,0.076258,0.000528,UNSAT
uuf50-0212.cnf,75,484,6,75,0.036752,0.036629,0.000428,UNSAT
uuf50-0213.cnf,95,691,6,95,0.055968,0.055879,0.000433,UNSAT
uuf50-0214.cnf,115,853,9,115,0.062351,0.062188,0.000513,UNSAT
uuf50-0215.cnf,107,886,5,107,0.060213,0.060074,0.000554,UNSAT
uuf50-0216.cnf,127,842,16,127,0.062126,0.061906,0.000656,UNSAT
uuf50-0217.cnf,133,860,20,133,0.067618,0.067433,0.000553,UNSAT
uuf50-0218.cnf,111,837,8,111,0.060163,0.060012,0.000518,UNSAT
uuf50-0219.cnf,95,621,9,95,0.047616,0.04751,0.000417,UNSAT
uuf50-022.cnf,151,1093,2,151,0.075227,0.074945,0.000652,UNSAT
uuf50-0220.cnf,49,409,3,49,0.029043,0.028968,0.00038,UNSAT
uuf50-0221.cnf,65,503,3,65,0.037642,0.037472,0.000519,UNSAT
uuf50-0222.cnf,87,637,9,87,0.047266,0.047137,0.000481,UNSAT
uuf50-0223.cnf,133,866,13,133,0.068396,0.068245,0.000613,UNSAT
uuf50-0224.cnf,157,1040,9,157,0.077316,0.077041,0.000654,UNSAT
uuf50-0225.cnf,47,383,1,47,0.027011,0.026909,0.000394,UNSAT
uuf50-0226.cnf,135,1112,16,135,0.069585,0.069415,0.00062,UNSAT
uuf50-0227.cnf,57,420,8,57,0.032142,0.032065,0.000315,UNSAT
uuf50-0228.cnf,105,995,16,105,0.056545,0.056422,0.000521,UNSAT
uuf50-0229.cnf,93,670,6,93,0.045081,0.04492,0.000476,UNSAT
uuf50-023.cnf,155,1106,11,155,0.081551,0.081351,0.000652,UNSAT
uuf50-0230.cnf,171,1327,12,171,0.0883,0.086759,0.006399,UNSAT
uuf50-0231.cnf,59,446,8,59,0.030237,0.030076,0.000502,UNSAT
uuf50-0232.cnf,75,481,6,75,0.039762,0.039687,0.000359,UNSAT
uuf50-0233.cnf,115,873,13,115,0.067957,0.067073,0.003307,UNSAT
uuf50-0234.cnf,99,631,4,99,0.052456,0.052244,0.000597,UNSAT
uuf50-0235.cnf,119,758,11,119,0.055131,0.054992,0.000484,UNSAT
uuf50-0236.cnf,93,738,26,93,0.045287,0.045126,0.000551,UNSAT
uuf50-0237.cnf,111,780,8,111,0.056648,0.056455,0.000537,UNSAT
uuf50-0238.cnf,107,795,15,107,0.054608,0.054461,0.000443,UNSAT
