file,recursive_calls,unit_props,pure_literals,backtracks,avg_time_sec,median_time_sec,stdev_time_sec,result
uf50-0227.cnf,90,664,14,82,0.045551,0.045001,0.001608,SAT
uf50-0228.cnf,99,620,22,88,0.046938,0.046791,0.000448,SAT
uf50-0229.cnf,19,64,9,7,0.007796,0.007793,4.9e-05,SAT
uf50-023.cnf,71,470,7,62,0.037137,0.037003,0.000466,SAT
uf50-0230.cnf,11,53,3,2,0.00637,0.006361,3.3e-05,SAT
uf50-0231.cnf,88,605,6,78,0.046985,0.046838,0.000462,SAT
uf50-0232.cnf,36,292,7,27,0.019659,0.019588,0.000332,SAT
uf50-0233.cnf,25,154,8,13,0.011908,0.011832,0.000328,SAT
uf50-0234.cnf,64,437,12,55,0.033537,0.033437,0.000438,SAT
uf50-0235.cnf,54,413,20,43,0.025566,0.025496,0.000339,SAT
uf50-0236.cnf,8,26,14,0,0.004717,0.00472,3.4e-05,SAT
uf50-0237.cnf,32,199,13,17,0.014797,0.014731,0.000333,SAT
uf50-0238.cnf,40,269,7,31,0.019701,0.019649,0.000339,SAT
uf50-0239.cnf,60,418,16,49,0.026022,0.025971,0.000307,SAT
uf50-024.cnf,14,115,5,6,0.007549,0.007548,4e-05,SAT
uf50-0240.cnf,51,414,3,42,0.030464,0.030331,0.000443,SAT
uf50-0241.cnf,84,658,13,73,0.046623,0.046471,0.000476,SAT
uf50-0242.cnf,10,34,8,1,0.005492,0.005493,2.4e-05,SAT
uf50-0243.cnf,45,344,4,38,0.027391,0.027317,0.00034,SAT
uf50-0244.cnf,12,51,4,1,0.006784,0.006702,0.000338,SAT
uf50-0245.cnf,67,300,15,55,0.031388,0.031301,0.000353,SAT
uf50-0246.cnf,37,236,12,26,0.016934,0.01686,0.000332,SAT
uf50-0247.cnf,12,89,5,4,0.006627,0.006629,3e-05,SAT
uf50-0248.cnf,25,155,5,13,0.011272,0.01118,0.000367,SAT
uf50-0249.cnf,50,330,6,40,0.023902,0.023842,0.000343,SAT
uf50-025.cnf,45,332,2,38,0.02449,0.024419,0.000358,SAT
uf50-0250.cnf,27,158,13,18,0.013421,0.013424,5.1e-05,SAT
uf50-0251.cnf,18,132,10,9,0.01029,0.010218,0.000319,SAT
uf50-0252.cnf,67,418,12,56,0.031878,0.031807,0.000336,SAT
uf50-0253.cnf,66,438,8,57,0.03503,0.034887,0.000475,SAT
uf50-0254.cnf,107,822,32,98,0.043424,0.043253,0.000519,SAT
uf50-0255.cnf,18,98,6,6,0.010486,0.010488,3.3e-05,SAT
uf50-0256.cnf,81,463,14,67,0.037568,0.037426,0.000473,SAT
uf50-0257.cnf,79,493,15,68,0.034265,0.033992,0.000529,SAT
uf50-0258.cnf,20,103,7,9,0.00831,0.008282,8.8e-05,SAT
uf50-0259.cnf,16,68,9,6,0.007712,0.007707,3.2e-05,SAT
uf50-026.cnf,113,620,17,100,0.050632,0.050404,0.000602,SAT
uf50-0260.cnf,14,90,14,5,0.007866,0.007855,5.2e-05,SAT
uf50-0261.cnf,73,487,15,65,0.038008,0.03786,0.000461,SAT
uf50-0262.cnf,24,169,3,15,0.014277,0.01421,0.000352,SAT
uf50-0263.cnf,49,352,7,41,0.027071,0.026713,0.001082,SAT
uf50-0264.cnf,82,458,22,68,0.035144,0.035004,0.000467,SAT
uf50-0265.cnf,18,97,7,6,0.008976,0.008978,3.8e-05,SAT
uf50-0266.cnf,104,772,7,93,0.048228,0.048035,0.000556,SAT
uf50-0267.cnf,41,291,4,34,0.02159,0.021518,0.000319,SAT
uf50-0268.cnf,77,549,18,65,0.037636,0.037573,0.000334,SAT
uf50-0269.cnf,19,87,15,5,0.008732,0.008736,2.6e-05,SAT
uf50-027.cnf,108,716,18,98,0.05142,0.051227,0.000569,SAT
uf50-0270.cnf,39,301,3,28,0.020221,0.020162,0.000349,SAT
uf50-0271.cnf,57,376,5,47,0.026231,0.02614,0.000377,SAT
uf50-0272.cnf,8,46,0,1,0.005763,0.005768,3e-05,SAT
uf50-0273.cnf,124,800,15,114,0.062712,0.062482,0.0006,SAT
uf50-0274.cnf,60,408,12,52,0.032087,0.031953,0.000462,SAT
uf50-0275.cnf,66,519,8,59,0.036038,0.035966,0.000366,SAT
uf50-0276.cnf,22,140,11,13,0.009017,0.00902,3.4e-05,SAT
uf50-0277.cnf,12,57,4,4,0.007379,0.007295,0.000353,SAT
uf50-0278.cnf,15,72,4,3,0.008076,0.008072,3.4e-05,SAT
uf50-0279.cnf,129,925,24,119,0.061008,0.06051,0.001577,SAT
uf50-028.cnf,105,826,16,93,0.051523,0.051062,0.001085,SAT
uf50-0280.cnf,82,643,8,73,0.040631,0.040412,0.00045,SAT
uf50-0281.cnf,68,461,21,59,0.03396,0.033685,0.000598,SAT
uf50-0282.cnf,93,760,10,83,0.04926,0.04913,0.000444,SAT
uf50-0283.cnf,9,50,13,1,0.004469,0.004465,3e-05,SAT
uf50-0284.cnf,38,302,6,30,0.020607,0.020551,0.000319,SAT
uf50-0285.cnf,33,218,13,26,0.01941,0.019342,0.00032,SAT
